Hole ID,From,To,Lithology,2nd lithology,comment,Valid_Lith,fine_coarse,Sequence_Strat
IP-02,2,10,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-02,10,20,Sand,NA,NA,Sand,Coarse,Sand II
IP-02,20,28,Clay,NA,NA,Clay,Fine,Clay I
IP-02,28,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-02,40,44,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-02,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-01,0,2,Clay,NA,NA,Clay,Fine,Clay II
IP-01,2,8,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-01,8,13,Clay,NA,NA,Clay,Fine,Clay Ia
IP-01,13,22,Sand,NA,NA,Sand,Coarse,Sand II
IP-01,22,28,Clay,NA,NA,Clay,Fine,Clay I
IP-01,28,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-01,40,44,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-01,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
