Hole ID,From,To,Lithology,2nd_lithology,comment
IP-48,20,28,Clay,NA,NA
IP-48,28,38,Clayey Sand,NA,NA
IP-48,38,46,Sand,NA,NA
IP-47,0,4,Clay,NA,NA
IP-47,4,12,Sand,NA,NA
IP-47,12,14,Clayey Sand,NA,NA
IP-47,14,18,Clay,NA,NA
IP-47,18,22,Clayey Sand,NA,NA
IP-47,22,28,Clay,NA,NA
IP-47,28,35,Clayey Sand,NA,NA
IP-47,35,48,Sand,NA,NA
IP-46,0,6,Clay,NA,NA
IP-46,6,12,Sand,NA,NA
IP-46,12,20,Clayey Sand,NA,NA
IP-46,20,30,Clay,NA,NA
IP-46,30,34,Clayey Sand,NA,NA
IP-46,34,50,Sand,NA,NA
IP-23,0,6,Clay,NA,NA
IP-23,6,12,Sand,NA,NA
IP-23,12,22,Clayey Sand,NA,NA
IP-23,22,30,Clay,NA,NA
IP-23,30,34,Clayey Sand,NA,NA
IP-23,34,42,Sand,NA,NA
IP-44,0,6,Clay,NA,NA
IP-44,6,10,Clayey Sand,NA,NA
IP-44,10,16,Sand,NA,NA
IP-44,16,22,Clayey Sand,NA,NA
IP-44,22,30,Clay,NA,NA
IP-44,30,38,Clayey Sand,NA,NA
IP-44,38,48,Sand,NA,NA
IP-45,0,6,Clay,NA,NA
IP-45,6,10,Clayey Sand,NA,NA
IP-45,10,14,Clay,NA,NA
IP-45,14,30,Clayey Sand,NA,NA
IP-45,30,34,Clay,NA,NA
IP-45,34,38,Clayey Sand,NA,NA
IP-45,38,42,Sand,NA,NA
IP-45,42,46,Clay,NA,NA
IP-45,46,52,Clayey Sand,NA,NA
IP-39,0,4,Clay,NA,NA
IP-39,4,14,Clayey Sand,NA,NA
IP-39,14,20,Clay,NA,NA
IP-39,20,24,Sand,NA,NA
IP-39,24,42,Clayey Sand,NA,NA
IP-05,0,6,Clay,NA,NA
IP-05,6,13,Sand,NA,NA
IP-05,13,17,Clayey Sand,NA,NA
IP-05,17,28,Clay,NA,NA
IP-05,28,32,Clayey Sand,NA,NA
IP-05,32,42,Sand,NA,NA
IP-06,0,7,Clay,NA,NA
